name,rating_count,rating_average,id
Thaimee Love,132.0,4.31061,54792
Seamore's Dumbo,113.0,4.27434,59704
Oppa Bistro,113.0,4.28319,49478
solaro,75.0,4.28,34691
Bella Dea,70.0,4.34286,60683
Two Hands Noho,69.0,4.31884,8630
Fiat Cafe,54.0,4.33333,51814
Isabella NY,30.0,4.3,50831
Jing Fong,16.0,4.3125,49995
The Standard Biergarten,14.0,4.28571,58621
Little Charli,6.0,4.33333,62856
Lokal Eatery & Bar,1138.0,4.23023,47465
Pasta Eater,472.0,4.23305,8043
The Garret West,318.0,4.17925,50733
The Cabinet,308.0,4.22403,7036
Mollusca,305.0,4.20984,59077
Shmoné,290.0,4.16552,59072
American Whiskey Tribeca,125.0,4.192,5677
Zia Maria - Little Italy,107.0,4.16822,34941
Balzem,92.0,4.19565,49699
Chanson Le Salon,85.0,4.2,58278
Time,58.0,4.18966,60652
Two Hands Tribeca,55.0,4.23636,7991
Singlish,55.0,4.18182,60867
BòCàPhê Chelsea,42.0,4.21429,58969
JIMMY,40.0,4.175,29265
Bar a Vin,39.0,4.23077,54978
"The Garden at The Standard, East Village",24.0,4.20833,59993
Do Not Disturb,21.0,4.2381,62913
Eros Greek Cuisine,10.0,4.2,54885
SONA,3749.0,4.05548,49671
The Standard Grill,1193.0,4.06119,52869
Madame Vo BBQ,940.0,4.06489,4511
Gilligan's,853.0,4.10903,12282
The Butcher's Daughter - Nolita,731.0,4.07661,4914
Felix Restaurant,573.0,4.0733,8778
Lamano West Village,551.0,4.13249,2537
City Vineyard & Wine Garden at Pier 26,522.0,4.12069,9840
The Garret Coctelería,504.0,4.11508,49752
The Black Ant,257.0,4.11673,10362
Parm - Battery Park City,196.0,4.11735,7457
Brooklyn Farm,190.0,4.09474,5681
Bistrot Leo,122.0,4.08197,37241
El Ta'Koy,90.0,4.14444,6021
One19 Wine Bar + Food,51.0,4.13725,56575
The Standard Plaza,23.0,4.13043,58636
Tribeca Grill,18.0,4.05556,52969
Nomad Restaurant,10.0,4.1,10592
The Mercer Kitchen by Jean-Georges,2660.0,4.04586,27684
Soho Diner,1130.0,4.01947,6790
Buddha-Bar Restaurant New York,967.0,3.97518,52850
Sea Wolf Waterfront,307.0,4.01629,52805
Grey Lady NYC,176.0,3.95455,4871
North Fork,131.0,4.01527,50374
The Tuck Room - Fulton Market,78.0,3.98718,27572
Skinos Mediterranean Cuisine,58.0,4.0,54886
Make Believe,41.0,4.04878,26722
Zutto Japanese American Pub,12.0,4.0,50560
LUZ Market + Restaurant,6.0,4.0,60735
BABY BRASA,1304.0,3.87347,48156
Hotel Chantelle,849.0,3.91284,26407
Freehold In The Park,381.0,3.85039,51340
Mother Duck,239.0,3.87029,52839
Madam Ji Modern Indian Restaurant,230.0,3.94783,10242
Casa Mezcal,216.0,3.90278,8470
BòCàPhê SoHo,26.0,3.88462,58968
Rooftop at Exchange Place,1387.0,3.83273,9656
Saint,115.0,3.81739,58666
Jardin by Areppas,49.0,3.83673,29540
Benares Indian Restaurant - NYC,38.0,3.81579,58347
Love and Dough,12.0,3.83333,53303
Jane on Houston,6.0,3.83333,64571
Dante Seaport,281.0,3.69039,58736
NoMo Kitchen,264.0,3.72348,58690
Short Stories,216.0,3.69444,32967
Wild Restaurant,34.0,3.70588,57311
Local 92 Soho,6.0,3.66667,59251
Le Bain,230.0,3.58261,54207
Local 92 - East Village,15.0,3.53333,50372
